GPU Name,Passmark mark,GPU Value,MSRP
FirePro W4170M,956,877,NA,NA
Firepro W4190M,1096,796,NA,NA
FirePro W4300,2803,396,11.68,$239.99*
FirePro W5000,3055,374,16.61,$184.00*
FirePro W5100,2956,383,23.46,$125.99*
FirePro W5130M,1360,697,NA,NA
Firepro W5170M,1620,629,NA,NA
FirePro W600,1751,608,4.22,$414.99*
FirePro W6150M,1515,662,NA,NA
FirePro W7000,4298,290,15.46,$278.05*
FirePro W7000 Adapter,4339,285,NA,NA
FirePro W7100,5175,249,13.29,$389.30*
FirePro W7170M,3161,363,NA,NA
FirePro W8000,4137,297,7.22,$573.00*
FirePro W8100,7313,193,10.39,$704.00*
FirePro W9000,6138,218,7.26,$845.00*
FirePro W9100,7719,184,4.46,"$1,729.99*"
FireStream 9170,647,1131,NA,NA
FireStream 9250,1164,766,NA,NA
FireStream 9270,1341,704,NA,NA
FireStream 9370,2528,443,NA,NA
GeCube RADEON 7000,8,2111,NA,NA
GeForce 205,126,1699,NA,NA
GeForce 210,97,1795,1.77,$54.92*
GeForce 240M GT,319,1470,NA,NA
GeForce 256,5,2159,0.12,$42.04*
GeForce 305M,150,1641,NA,NA
GeForce 310,120,1713,1.12,$108.35*
GeForce 310M,110,1752,NA,NA
GeForce 315,159,1630,4.83,$32.99*
GeForce 315M,116,1730,NA,NA
GeForce 320M,218,1561,NA,NA
GeForce 405,120,1714,4.90,$24.64*
GeForce 410M,247,1534,NA,NA
GeForce 505,147,1648,1.28,$115.06*
GeForce 510,256,1526,3.67,$69.99*
GeForce 605,304,1479,2.23,$136.83*
GeForce 6100,27,2045,NA,NA
GeForce 6100 nForce 400,25,2054,NA,NA
GeForce 6100 nForce 405,24,2056,NA,NA
GeForce 6100 nForce 420,25,2053,NA,NA
GeForce 6100 nForce 430,23,2069,NA,NA
GeForce 610M,293,1490,NA,NA
GeForce 615,551,1242,NA,NA
GeForce 6150,21,2072,0.07,$329.00*
GeForce 6150 LE,33,2020,NA,NA
GeForce 6150SE,24,2059,NA,NA
GeForce 6150SE nForce 430,29,2038,NA,NA
GeForce 6200,35,2005,0.35,$99.99*
GeForce 6200 A-LE,32,2028,NA,NA
GeForce 6200 LE,28,2041,0.69,$41.24*
GeForce 6200 TurboCache,49,1945,NA,NA
GeForce 6200A,3,2205,0.07,$54.99*
GeForce 6200SE TurboCache,37,1997,NA,NA
GeForce 6500,38,1990,NA,NA
GeForce 6600,87,1822,0.33,$264.00*
GeForce 6600 GT,137,1671,2.11,$64.95*
GeForce 6600 LE,51,1937,NA,NA
GeForce 6610 XL,88,1821,NA,NA
GeForce 6700 XL,95,1798,NA,NA
GeForce 6800,112,1743,0.20,$559.29*
GeForce 6800 GS,195,1592,NA,NA
GeForce 6800 GS/XT,102,1779,NA,NA
GeForce 6800 GT,142,1655,NA,NA
GeForce 6800 LE,109,1756,NA,NA
GeForce 6800 Ultra,138,1666,NA,NA
GeForce 6800 XE,58,1917,NA,NA
GeForce 6800 XT,128,1693,NA,NA
GeForce 7000M,13,2095,NA,NA
GeForce 7000M / nForce 610M,12,2096,NA,NA
GeForce 7025 / nForce 630a,34,2016,NA,NA
GeForce 7050 / nForce 610i,24,2061,NA,NA
GeForce 7050 / nForce 620i,39,1987,NA,NA
GeForce 7050 / nForce 630i,37,1993,NA,NA
GeForce 7050 PV / nForce 630a,30,2034,NA,NA
GeForce 705M,455,1348,NA,NA
GeForce 7100 / nForce 620i,26,2049,NA,NA
GeForce 7100 / nForce 630i,35,2006,NA,NA
GeForce 7100 GS,51,1934,NA,NA
GeForce 710A,486,1313,NA,NA
GeForce 710M,449,1357,NA,NA
GeForce 7150 / nForce 630i,33,2023,NA,NA
GeForce 7150M / nForce 630M,18,2081,NA,NA
GeForce 7200 GS,23,2068,NA,NA
GeForce 720A,662,1115,NA,NA
GeForce 7300 GS,81,1843,NA,NA
GeForce 7300 GT,135,1675,0.90,$149.99*
GeForce 7300 LE,81,1850,2.53,$32.00*
GeForce 7300 SE,39,1986,NA,NA
GeForce 7300 SE/7200 GS,48,1951,NA,NA
GeForce 730A,769,1020,NA,NA
GeForce 7350 LE,74,1862,NA,NA
GeForce 7500 LE,89,1819,NA,NA
GeForce 7600 GS,157,1631,0.90,$175.00*
GeForce 7600 GT,202,1583,1.02,$199.00*
GeForce 7650 GS,134,1683,NA,NA
GeForce 770M,3245,355,18.34,$176.99*
GeForce 7800 GS,177,1614,NA,NA
GeForce 7800 GT,244,1537,3.05,$80.00*
GeForce 7800 GTX,290,1495,4.06,$71.60*
GeForce 7900 GS,253,1529,NA,NA
GeForce 7900 GT,258,1523,1.30,$199.00*
GeForce 7900 GT/GTO,247,1535,NA,NA
GeForce 7900 GTX,387,1410,NA,NA
GeForce 7950 GT,344,1443,1.69,$203.99*
GeForce 7950 GX2,201,1584,3.67,$54.99*
GeForce 7950 Xtreme,287,1498,NA,NA
GeForce 800A,428,1377,NA,NA
GeForce 800M,468,1333,NA,NA
GeForce 8100 / nForce 720a,79,1853,NA,NA
GeForce 810A,622,1158,NA,NA
GeForce 810M,409,1390,NA,NA
GeForce 8200,153,1638,NA,NA
GeForce 8200M G,71,1871,NA,NA
GeForce 820A,568,1226,NA,NA
GeForce 820M,509,1289,NA,NA
GeForce 825M,768,1022,NA,NA
GeForce 8300,101,1783,4.48,$22.68*
GeForce 8300 GS,66,1893,NA,NA
GeForce 830A,1004,847,NA,NA
GeForce 830M,978,863,NA,NA
GeForce 8400,81,1846,0.14,$589.99*
GeForce 8400 GS,128,1691,1.50,$85.97*
GeForce 8400 SE,68,1887,NA,NA
GeForce 8400M G,58,1918,NA,NA
GeForce 8400M GS,98,1790,1.25,$78.20*
GeForce 8400M GT,63,1902,NA,NA
GeForce 840A,1179,761,NA,NA
GeForce 840M,1065,813,NA,NA
GeForce 845M,1464,676,NA,NA
GeForce 8500 GT,115,1732,NA,NA
GeForce 8600 GS,91,1812,NA,NA
GeForce 8600 GT,117,1723,0.60,$196.00*
GeForce 8600 GTS,161,1629,0.67,$241.99*
GeForce 8600M GS,73,1865,NA,NA
GeForce 8600M GT,89,1820,0.82,$108.10*
GeForce 8700M GT,124,1702,NA,NA
GeForce 8800 GS,332,1455,NA,NA
GeForce 8800 GT,516,1281,7.38,$69.99*
GeForce 8800 GTS,458,1347,5.73,$79.99*
GeForce 8800 GTS 512,591,1193,NA,NA
GeForce 8800 GTX,597,1186,4.98,$119.99*
GeForce 8800 Ultra,642,1136,NA,NA
GeForce 8800M GTS,382,1412,NA,NA
GeForce 8800M GTX,462,1343,NA,NA
GeForce 9100,81,1839,NA,NA
GeForce 9100M G,74,1861,NA,NA
GeForce 910M,578,1209,NA,NA
GeForce 9200,170,1622,NA,NA
GeForce 9200M GE,156,1632,NA,NA
GeForce 9200M GS,111,1747,NA,NA
GeForce 920A,871,938,NA,NA
GeForce 920M,726,1061,NA,NA
GeForce 920MX,1082,802,NA,NA
GeForce 9300,126,1697,2.15,$59.00*
GeForce 9300 / nForce 730i,128,1690,NA,NA
GeForce 9300 GE,84,1831,3.66,$22.99*
GeForce 9300 GS,111,1750,1.85,$59.95*
GeForce 9300 SE,81,1844,NA,NA
GeForce 9300GE,97,1792,1.01,$97.20*
GeForce 9300M G,84,1828,NA,NA
GeForce 9300M GS,92,1811,2.12,$43.42*
GeForce 930A,1081,803,NA,NA
GeForce 930M,1007,845,NA,NA
GeForce 930MX,1301,718,NA,NA
GeForce 9400,106,1763,NA,NA
GeForce 9400 GT,104,1769,0.65,$159.99*
GeForce 9400M,74,1859,NA,NA
GeForce 9400M G,67,1890,NA,NA
GeForce 940A,1144,774,NA,NA
GeForce 940M,1106,789,NA,NA
GeForce 940MX,1507,664,NA,NA
GeForce 9450,104,1768,NA,NA
GeForce 945A,1852,576,NA,NA
GeForce 945M,1944,557,NA,NA
GeForce 9500 GS,156,1633,NA,NA
