GPU Name,Passmark mark,GPU Value,MSRP
GeForce PCX 5300,6,2136,NA,NA
GeForce PCX 5750,34,2008,NA,NA
GeForce PCX 5900,34,2014,NA,NA
GeForce RTX 2050,5749,229,NA,NA
GeForce RTX 2060,13972,70,41.34,$338.03
GeForce RTX 2060 (Mobile),11354,103,NA,NA
GeForce RTX 2060 SUPER,16510,45,40.27,$409.99
GeForce RTX 2070,16089,49,25.64,$627.44*
GeForce RTX 2070 (Mobile),12354,91,NA,NA
GeForce RTX 2070 SUPER,18194,34,36.39,$499.99*
GeForce RTX 2070 with Max-Q Design,11178,107,NA,NA
GeForce RTX 2080,18724,28,29.58,$633.03*
GeForce RTX 2080 (Mobile),15107,58,NA,NA
GeForce RTX 2080 SUPER,19495,21,28.50,$683.99*
GeForce RTX 2080 Ti,21805,13,21.84,$998.59*
GeForce RTX 2080 with Max-Q Design,12321,92,5.87,"$2,099.99*"
GeForce RTX 3050,12794,86,NA,NA
GeForce RTX 3050 Laptop GPU,9061,147,28.32,$319.99
GeForce RTX 3050 Ti Laptop GPU,9593,132,NA,NA
GeForce RTX 3060,16995,36,51.66,$329.00*
GeForce RTX 3060 Laptop GPU,12796,85,33.24,$384.99
GeForce RTX 3060 Ti,20336,16,40.67,$499.99
GeForce RTX 3070,22178,11,38.24,$579.99
GeForce RTX 3070 Laptop GPU,15244,57,NA,NA
GeForce RTX 3070 Ti,23561,10,35.17,$669.99
GeForce RTX 3070 Ti Laptop GPU,18714,30,NA,NA
GeForce RTX 3080,25074,6,31.34,$799.99
GeForce RTX 3080 Laptop GPU,16575,44,NA,NA
GeForce RTX 3080 Ti,27149,3,27.15,$999.99
GeForce RTX 3080 Ti Laptop GPU,20118,17,NA,NA
GeForce RTX 3090,26542,4,18.31,"$1,449.99"
GeForce RTX 3090 Ti,30208,1,17.77,"$1,699.99"
GeForce2 Go,4,2189,NA,NA
GeForce2 GTS/GeForce2 Pro,3,2194,NA,NA
GeForce2 Integrated GPU,4,2184,NA,NA
GeForce2 MX,2,2234,NA,NA
GeForce2 MX 100/200,3,2218,NA,NA
GeForce2 MX with DVI-D and TV-out,4,2167,NA,NA
GeForce2 MX/MX 400,3,2196,NA,NA
GeForce2 Ti,4,2176,NA,NA
GeForce2 Ultra,6,2134,NA,NA
GeForce3,4,2164,NA,NA
GeForce3 Ti 200,4,2191,NA,NA
GeForce3 Ti 500,2,2244,NA,NA
GeForce4 420 Go,3,2215,NA,NA
GeForce4 420 Go 32M,5,2154,NA,NA
GeForce4 4200 Go,3,2195,NA,NA
GeForce4 440,4,2161,NA,NA
GeForce4 440 Go,3,2202,NA,NA
GeForce4 440 Go 64M,5,2140,NA,NA
GeForce4 448 Go,5,2151,NA,NA
GeForce4 MX 4000,4,2182,NA,NA
GeForce4 MX 420,4,2168,NA,NA
GeForce4 MX 440,4,2179,NA,NA
GeForce4 MX 440 with AGP8X,4,2165,NA,NA
GeForce4 MX 440SE,4,2178,NA,NA
GeForce4 MX 460,4,2188,NA,NA
GeForce4 MX Integrated GPU,6,2132,NA,NA
GeForce4 Ti 4200,5,2150,NA,NA
GeForce4 Ti 4400,7,2125,NA,NA
GeForce4 Ti 4600,5,2152,0.10,$53.99*
GeForce4 Ti 4800,5,2142,NA,NA
GeForce4 Ti 4800 SE,6,2128,NA,NA
GeForce9400M,105,1767,NA,NA
GF117,554,1240,NA,NA
GIGABYTE RADEON 9600 PRO,39,1985,NA,NA
Gigabyte RADEON X300,40,1974,NA,NA
GRID K1,810,990,2.05,$395.00*
GRID K120Q,293,1489,NA,NA
GRID K140Q,727,1060,NA,NA
GRID K160Q,628,1149,NA,NA
GRID K180Q,533,1263,NA,NA
GRID K2,2736,402,0.61,"$4,449.99"
GRID K220Q,912,912,NA,NA
GRID K240Q,2541,437,NA,NA
GRID K260Q,2949,384,NA,NA
GRID K280Q,2839,392,NA,NA
GRID K520,3399,340,22.66,$149.99*
GRID M10-0Q,913,909,NA,NA
GRID M10-1B,2309,473,NA,NA
GRID M10-1Q,3351,347,NA,NA
GRID M10-2B,2416,457,NA,NA
GRID M10-4Q,3223,356,NA,NA
GRID M10-8Q,2606,427,NA,NA
GRID M6-0B,911,913,NA,NA
GRID M6-1Q,2069,520,NA,NA
GRID M6-8Q,3568,329,NA,NA
GRID M60-0B,1838,581,NA,NA
GRID M60-0Q,827,976,NA,NA
GRID M60-1B,4456,280,NA,NA
GRID M60-1Q,4680,271,NA,NA
GRID M60-2Q,5291,244,NA,NA
GRID M60-4Q,3188,358,NA,NA
GRID M60-8A,5523,237,NA,NA
GRID M60-8Q,3883,309,NA,NA
GRID P100-16Q,5944,221,NA,NA
GRID P100-1B,2223,494,NA,NA
GRID P100-8Q,3841,313,NA,NA
GRID P40-24Q,4727,268,NA,NA
GRID P40-2B,3354,346,NA,NA
GRID P40-2Q,4287,291,NA,NA
GRID P40-3Q,681,1092,NA,NA
GRID P40-4Q,777,1008,NA,NA
GRID P6-2Q,4000,301,NA,NA
GRID P6-4Q,4429,282,NA,NA
GRID V100-8Q,16,2089,NA,NA
GRID V100D-8Q,4155,296,NA,NA
GT 430,223,1553,1.56,$142.88*
HD6450,220,1557,2.04,$108.20*
HIS DIGITAL HD 4650 AGP,452,1352,NA,NA
IGP 340M,1,2259,NA,NA
IncrediblE HD,389,1408,NA,NA
IncrediblE HD 3000,291,-1,NA,NA
IncrediblE HD 4000,517,1280,NA,NA
IncrediblE HD 4600,749,1041,NA,NA
Intel - Express Chipset G41,56,1925,NA,NA
Intel - Express Chipset Q45/Q43,57,1920,NA,NA
Intel 2nd Generation SandyBridge HD,185,1604,NA,NA
Intel 2nd Generation SandyBridge HD 3000,205,1581,NA,NA
Intel 4th Generation Haswell HD,419,1385,NA,NA
Intel 82845G Controller,2,2250,NA,NA
Intel 82845G/GL Controller,2,2239,NA,NA
Intel 82845G/GL/GE/PE/GV Controller,2,2229,NA,NA
Intel 82852/82855 GM/GME Controller,1,2262,NA,NA
Intel 82865G Controller,4,2172,NA,NA
Intel 82915G Express,5,2146,NA,NA
Intel 82915G/915GV/910GL,3,2203,NA,NA
Intel 82915G/GV/910GL Advanced v3.5,2,2238,NA,NA
Intel 82915G/GV/910GL Express,3,2224,NA,NA
Intel 82945G Express,14,2093,NA,NA
Intel 82945G Express-Chipsatzfamilie,8,2117,NA,NA
Intel 865 Embedded Controller,3,2204,NA,NA
"Intel 915G,910G Express",4,2193,NA,NA
Intel 915G/915GV/910GL Embedded Controller Functio,4,2174,NA,NA
Intel 945G Embedded Chipset Function 0,4,2181,NA,NA
Intel 946GZ Embedded Chipset Function 0,3,2219,NA,NA
Intel 946GZ Express,3,2214,NA,NA
Intel B43 Express Chipset,68,1886,NA,NA
Intel Coffee Lake UHD,1158,771,NA,NA
Intel Extreme Controller,1,2253,NA,NA
Intel G33/G31 Express,83,1833,NA,NA
Intel G35 Express,3090,370,NA,NA
Intel G41 Express Chipset,82,1838,NA,NA
Intel G41 Express-Chipsatz,57,1922,NA,NA
Intel G45/G43 Express Chipset,74,1860,NA,NA
Intel G45/G43/G41 Express Chipset,67,1888,NA,NA
Intel G965 Express,24,2057,NA,NA
Intel GMA 3150 Express,2,2245,NA,NA
Intel Haswell HD - GT1,123,1708,NA,NA
Intel Haswell HD - GT2,139,1664,NA,NA
Intel HD 2000,213,1568,NA,NA
Intel HD 3000,256,1527,0.27,$945.00*
Intel HD 4000,334,1453,0.21,"$1,592.95*"
Intel HD 4400,521,1273,NA,NA
Intel HD 4600,628,1151,NA,NA
Intel HD 500,293,1488,NA,NA
Intel HD 5000,564,1230,0.90,$625.00*
Intel HD 505,339,1449,NA,NA
Intel HD 510,616,1165,NA,NA
Intel HD 515,627,1153,NA,NA
Intel HD 520,865,944,NA,NA
Intel HD 5200,830,974,NA,NA
Intel HD 530,982,860,NA,NA
Intel HD 5300,388,1409,NA,NA
Intel HD 5500,582,1206,NA,NA
Intel HD 5600,712,1072,NA,NA
Intel HD 6000,854,952,NA,NA
Intel HD 610,671,1106,NA,NA
Intel HD 615,723,1062,NA,NA
Intel HD 630,1120,785,NA,NA
Intel HD Family,451,1354,NA,NA
Intel HD Graphics 620,923,903,NA,NA
Intel HD manual-15.28-1861,62,1906,NA,NA
Intel HD manual-gen9_2015-133271,165,1627,NA,NA
Intel HD Modded,112,1745,NA,NA
Intel HD P3000,299,1484,NA,NA
Intel HD P4000,516,1283,NA,NA
Intel HD P4600,604,1179,NA,NA
Intel HD P4600/P4700,627,1155,NA,NA
Intel HD P530,1196,755,NA,NA
Intel HD P630,1237,738,NA,NA
Intel Infoshock HD,193,1593,NA,NA
Intel Iris 5100,765,1024,NA,NA
Intel Iris 540,1258,728,NA,NA
Intel Iris 550,1365,694,NA,NA
Intel Iris 6100,914,908,NA,NA
Intel Iris 650,1794,595,NA,NA
Intel Iris Plus,1842,578,NA,NA
Intel Iris Plus 640,1327,706,NA,NA
Intel Iris Plus 645,1731,612,NA,NA
Intel Iris Plus 650,1574,645,NA,NA
Intel Iris Plus 655,1766,602,NA,NA
Intel Iris Pro 5200,1020,836,NA,NA
Intel Iris Pro 580,1975,547,NA,NA
Intel Iris Pro 6100,925,902,NA,NA
Intel Iris Pro Graphics 6200,1429,681,NA,NA
Intel Iris Pro P580,2168,506,NA,NA
Intel Iris Pro P6300,1625,627,NA,NA
Intel Iris Xe,2765,400,NA,NA
Intel Iris Xe MAX,1980,544,NA,NA
Intel Media Accelerator,32,2024,NA,NA
Intel Media Accelerator 3150,2,2228,NA,NA
Intel Media Accelerator 500,3,2211,NA,NA
Intel Media Accelerator 600,6,2127,NA,NA
Intel Media Accelerator HD,98,1789,NA,NA
Intel Poison Ivy,738,1055,NA,NA
Intel Q33 Express,4,2173,NA,NA
Intel Q35 Embedded,8,2113,NA,NA
Intel Q35 Express,140,1659,NA,NA
Intel Q45/Q43 Express Chipset,144,1654,NA,NA
Intel Q45/Q43 Express-Chipsatz,57,1923,NA,NA
Intel Q965/Q963 Express,287,1500,NA,NA
Intel Skylake HD DT GT2,576,1213,NA,NA
Intel UHD,1559,647,NA,NA
Intel UHD 600,328,1462,NA,NA
Intel UHD 605,366,1424,NA,NA
Intel UHD 610,730,1058,NA,NA
Intel UHD 615,761,1029,NA,NA
Intel UHD 617,862,948,NA,NA
Intel UHD 620,888,925,NA,NA
Intel UHD 630,1291,722,NA,NA
Intel UHD 710,1101,791,NA,NA
Intel UHD 730,1576,643,NA,NA
Intel UHD 750,1759,606,NA,NA
Intel UHD 770,2672,416,NA,NA
Intel UHD Graphics 620,1035,827,NA,NA
Intel UHD P630,2435,455,NA,NA
Intel UHD P750,1758,607,NA,NA
Intel UHD ReleaseInternal,1959,-1,NA,NA
Intel US15 Embedded Media and Controller,7,2124,NA,NA
ION,85,1825,0.37,$229.99*
ION LE,97,1791,NA,NA
KV SPECTRE LITE MOBILE 25W,538,1261,NA,NA
LMIMIRR,874,937,NA,NA
M71-M,64,1901,NA,NA
M76M,124,1701,NA,NA
M860G with Mobility Radeon 4100,75,1856,NA,NA
M880G with Mobility Radeon HD 4200,92,1806,NA,NA
M880G with Mobility Radeon HD 4225,71,1873,NA,NA
M880G with Mobility Radeon HD 4250,104,1772,NA,NA
Master X3100 Driver,10,2104,NA,NA
Matrox C420 LP PCIe x16,607,1176,NA,NA
Matrox C680 PCIe x16,1903,564,NA,NA
Matrox C900 PCIe x16,1812,587,NA,NA
Matrox G200e WDDM 1.2,59,1914,NA,NA
Matrox G200e WDDM 2.0,123,1706,NA,NA
Matrox G200eh,40,1977,NA,NA
Matrox G200eh WDDM 1.2,51,1933,NA,NA
Matrox G200eh WDDM 2.0,45,1961,NA,NA
Matrox G200eR,36,1998,NA,NA
Matrox G200eR WDDM 1.2,45,1959,NA,NA
Matrox G200eR WDDM 2.0,67,1889,NA,NA
Matrox G200eW,39,1981,NA,NA
Matrox G200eW WDDM 1.2,50,1942,NA,NA
Matrox G200eW3 WDDM 2.0,94,1801,NA,NA
Matrox M9120 PCIe x16,19,2076,NA,NA
Matrox M9120 Plus LP PCIe x16,25,2051,NA,NA
Matrox M9125 PCIe x16,25,2052,NA,NA
Matrox M9128 LP PCIe x16,31,2029,NA,NA
Matrox M9138 LP PCIe x16,42,1971,NA,NA
Matrox M9140 LP PCIe x16,23,2066,NA,NA
Matrox M9148 LP PCIe x16,32,2027,NA,NA
Matrox Millennium P650 PCIe 128,5,2155,NA,NA
Matrox Millennium P690 PCIe x16,366,1423,NA,NA
Matrox Millennium P690 Plus LP PCIe x16,6,2129,NA,NA
Matrox Parhelia 128MB,3,2213,0.01,$393.99*
Matrox Parhelia 256MB,9,2107,NA,NA
Matrox Parhelia APVe,5,2148,NA,NA
MCT USB3.0 External Device,520,-1,NA,NA
MEDION RADEON 9800 XXL,71,1872,NA,NA
MEDION RADEON X740XL,94,1799,NA,NA
Miracast display port driver V3,15909,-1,NA,NA
MIRRORV3,1080,804,NA,NA
Mobile Intel - famiglia Express Chipset 45,38,1989,NA,NA
Mobile Intel 4 Express-Chipsatzfamilie,44,1966,NA,NA
Mobile Intel 45 Express,46,1957,NA,NA
Mobile Intel 45 Express-Chipsatzfamilie,117,1725,NA,NA
Mobile Intel 915GM/GMS/910GML Express,2,2251,NA,NA
Mobile Intel 945 Express,1,2257,NA,NA
Mobile Intel 945GM Express,5,2143,NA,NA
Mobile Intel 945GM/GU Express,5,2156,NA,NA
Mobile Intel 965 Express,56,1928,NA,NA
Mobile Intel 965 Express - BR-0907-0461 v1839,8,2115,NA,NA
Mobile Intel 965 Express-Chipsatzfamilie,24,2063,NA,NA
Mobile Intel HD,284,1502,0.59,$479.98*
Mobile Intel serie 4 Express,44,1965,NA,NA
Mobile Intel965 Express,17,2086,NA,NA
MOBILITY FIREGL 7800,4,2169,NA,NA
MOBILITY FIREGL T2,40,1976,NA,NA
MOBILITY FIREGL T2/T2e,33,2018,NA,NA
MOBILITY FireGL V3200,62,1907,NA,NA
MOBILITY FireGL V5000,81,1842,NA,NA
MOBILITY FireGL V5200,44,1962,NA,NA
MOBILITY FireGL V5250,27,2043,NA,NA
Mobility FireGL V5725,219,1559,NA,NA
MOBILITY IGP 9000/9100,10,2105,NA,NA
Mobility Radeon 4100,81,1848,NA,NA
MOBILITY RADEON 7000 IGP,6,2135,NA,NA
MOBILITY RADEON 7500,3,2207,NA,NA
MOBILITY RADEON 9000,3,2217,NA,NA
MOBILITY RADEON 9000 IGP,7,2118,NA,NA
MOBILITY RADEON 9000/9100 IGP,5,2147,NA,NA
MOBILITY RADEON 9100 IGP,2,2227,NA,NA
MOBILITY RADEON 9200,3,2226,NA,NA
MOBILITY RADEON 9550,30,2035,NA,NA
MOBILITY RADEON 9600,36,2002,NA,NA
MOBILITY RADEON 9600 PRO TURBO,24,2058,NA,NA
MOBILITY RADEON 9600/9700,39,1984,NA,NA
MOBILITY RADEON 9700,27,2042,NA,NA
MOBILITY RADEON 9800,46,1956,NA,NA
Mobility Radeon HD 2300,50,1940,NA,NA
Mobility Radeon HD 2400,89,1818,NA,NA
Mobility Radeon HD 2400 XT,102,1781,NA,NA
Mobility Radeon HD 2600,167,1625,NA,NA
Mobility Radeon HD 2600 XT,191,1597,NA,NA
Mobility Radeon HD 3400 Serisi,111,1748,NA,NA
Mobility Radeon HD 3410,62,1905,NA,NA
Mobility Radeon HD 3430,98,1788,NA,NA
Mobility Radeon HD 3450,91,1815,NA,NA
Mobility Radeon HD 3470,93,1803,NA,NA
Mobility Radeon HD 3470 Hybrid X2,93,1802,NA,NA
Mobility Radeon HD 3650,129,1689,1.76,$73.53*
Mobility Radeon HD 3670,232,1548,NA,NA
Mobility Radeon HD 3850,365,1427,NA,NA
Mobility Radeon HD 3870,547,1247,NA,NA
Mobility Radeon HD 3870 X2,477,1320,NA,NA
Mobility Radeon HD 4200,90,1816,NA,NA
Mobility Radeon HD 4225,66,1896,NA,NA
Mobility Radeon HD 4250,98,1786,NA,NA
Mobility Radeon HD 4270,92,1805,NA,NA
Mobility Radeon HD 4300 Serisi,73,1867,NA,NA
Mobility Radeon HD 4330,135,1676,NA,NA
Mobility Radeon HD 4350,148,1644,NA,NA
Mobility Radeon HD 4550,191,1598,NA,NA
Mobility Radeon HD 4570,134,1678,1.77,$75.90*
Mobility Radeon HD 4650,401,1400,NA,NA
Mobility Radeon HD 4670,463,1341,NA,NA
Mobility Radeon HD 4830,511,1286,NA,NA
Mobility Radeon HD 4850,866,943,NA,NA
Mobility Radeon HD 4870,719,1067,NA,NA
Mobility Radeon HD 5000,773,1018,NA,NA
Mobility Radeon HD 5000 Serisi,478,1319,NA,NA
Mobility Radeon HD 5165,284,1503,NA,NA
Mobility Radeon HD 530v,174,1616,NA,NA
Mobility Radeon HD 540v,188,1602,NA,NA
Mobility Radeon HD 5430,181,1608,NA,NA
Mobility Radeon HD 5450,214,1567,NA,NA
Mobility Radeon HD 545v,199,1587,NA,NA
Mobility Radeon HD 5470,236,1545,NA,NA
Mobility Radeon HD 550v,266,1516,NA,NA
Mobility Radeon HD 5570,544,1255,NA,NA
Mobility Radeon HD 560v,318,1472,NA,NA
Mobility Radeon HD 5650,444,1364,NA,NA
Mobility Radeon HD 565v,353,1439,NA,NA
Mobility Radeon HD 5730,485,1314,NA,NA
Mobility Radeon HD 5850,763,1026,NA,NA
Mobility Radeon HD 5870,1076,807,NA,NA
Mobility Radeon HD serie 4200,96,1796,NA,NA
Mobility Radeon X1300,39,1982,NA,NA
Mobility Radeon X1350,39,1980,NA,NA
Mobility Radeon X1400,42,1968,NA,NA
Mobility Radeon X1450,33,2021,NA,NA
Mobility Radeon X1600,92,1809,NA,NA
Mobility Radeon X1700,104,1770,NA,NA
MOBILITY RADEON X1800,130,1686,NA,NA
Mobility Radeon X1900,134,1677,NA,NA
Mobility Radeon X2300,48,1950,NA,NA
Mobility Radeon X2300 HD,48,1948,NA,NA
Mobility Radeon X2500,81,1841,NA,NA
MOBILITY RADEON X300,33,2017,NA,NA
MOBILITY RADEON X600,50,1941,NA,NA
MOBILITY RADEON X600 SE,49,1944,NA,NA
MOBILITY RADEON X700,66,1892,NA,NA
MOBILITY RADEON X700 XL,59,1911,NA,NA
MOBILITY RADEON XPRESS 200,27,2046,NA,NA
Mobility Radeon. HD 5470,215,1566,NA,NA
MOBILITY/RADEON 9000,4,2190,NA,NA
MONSTER GeForce GTX 675M,2637,423,NA,NA
MxGPU,1826,583,NA,NA
N16P-GX,1204,749,NA,NA
N18E-Q1,2525,444,NA,NA
nForce 750a SLI,83,1836,NA,NA
nForce 760i SLI,140,1663,NA,NA
nForce 780a SLI,92,1810,NA,NA
nForce 980a/780a SLI,81,1845,NA,NA
NV44,15,2090,NA,NA
NVIDIA TITAN X,13659,76,22.46,$608.10*
NVIDIA TITAN Xp,18280,33,11.11,"$1,645.00*"
NVS 2100M,139,1665,NA,NA
NVS 300,114,1739,1.81,$62.97*
NVS 310,243,1539,3.92,$62.06*
NVS 3100M,114,1736,NA,NA
NVS 315,287,1499,4.11,$69.99*
NVS 4200M,258,1522,0.65,$399.00*
NVS 510,721,1065,2.62,$275.16
NVS 5100M,190,1599,NA,NA
NVS 5200M,529,1266,NA,NA
NVS 5400M,635,1141,NA,NA
NVS 810,1161,768,1.86,$624.99*
OPAL XT/GL,1053,819,NA,NA
OpenXT Display Driver,30,2032,NA,NA
P106-100,3801,316,NA,NA
PHDGD Ivy 4,374,1420,NA,NA
PHDGD Ivy 5,445,1363,NA,NA
PHDGD Quantic C3,116,1726,NA,NA
PHDGD Sapphire GR for Mobile Intel 965,25,2050,NA,NA
PHDGD Solo 1.2.0 x86,11,2103,NA,NA
PHDGD Solo 2 x64,20,2075,NA,NA
Professional HD Driver,653,1126,NA,NA
Q12U-1,5164,250,NA,NA
Quadro 1000M,586,1202,10.76,$54.50*
Quadro 1100M,755,1036,NA,NA
Quadro 2000,943,892,4.43,$213.23*
Quadro 2000 D,1239,734,NA,NA
Quadro 2000D,990,855,7.08,$140.00*
Quadro 2000M,767,1023,3.34,$229.74*
Quadro 2100M,1100,794,NA,NA
Quadro 280 NVS PCIe,5,2144,NA,NA
Quadro 3000M,1005,846,14.37,$69.99*
Quadro 400,146,1650,0.70,$211.00*
Quadro 4000,1488,668,1.52,$978.99
Quadro 4000M,1310,713,5.65,$232.06*
Quadro 410,436,1368,3.38,$129.00*
Quadro 5000,1982,543,0.84,"$2,366.18"
Quadro 5000M,2059,522,NA,NA
Quadro 500M,664,1114,2.41,$275.14*
Quadro 5010M,1891,568,8.02,$235.95*
Quadro 600,547,1248,7.20,$76.00*
Quadro 6000,2688,410,0.66,"$4,092.38*"
Quadro 7000,3505,333,NA,NA
Quadro CX,947,888,6.32,$149.95*
Quadro FX 1000,34,2012,NA,NA
Quadro FX 1100,35,2003,0.17,$212.99*
Quadro FX 1300,34,2011,NA,NA
Quadro FX 1400,124,1703,0.51,$245.01*
Quadro FX 1500,189,1600,1.65,$115.01*
Quadro FX 1500M,171,1620,NA,NA
Quadro FX 1600M,140,1661,0.94,$149.90*
Quadro FX 1700,116,1727,0.33,$350.14*
Quadro FX 1700M,172,1619,NA,NA
Quadro FX 1800,404,1398,3.00,$135.00*
Quadro FX 1800M,469,1332,NA,NA
Quadro FX 2000,18,2083,NA,NA
Quadro FX 2500M,217,1562,12.45,$17.50*
Quadro FX 2700,543,1257,NA,NA
Quadro FX 2700M,354,1436,3.55,$99.95*
Quadro FX 2800M,432,1372,2.28,$190.00*
Quadro FX 3000,69,1884,0.41,$166.61*
Quadro FX 3400/4400,104,1771,NA,NA
Quadro FX 3450,148,1643,1.24,$119.99*
Quadro FX 3450/4000 SDI,185,1605,NA,NA
Quadro FX 350,85,1824,NA,NA
Quadro FX 3500,291,1493,4.23,$68.98*
Quadro FX 3500M,306,1478,3.06,$99.99*
Quadro FX 350M,44,1964,NA,NA
Quadro FX 3600M,466,1334,NA,NA
Quadro FX 360M,86,1823,NA,NA
Quadro FX 370,83,1835,0.67,$125.00*
Quadro FX 370 Low Profile,102,1778,NA,NA
Quadro FX 370 LP,108,1760,NA,NA
Quadro FX 3700,390,1406,1.83,$213.27*
Quadro FX 3700M,477,1321,0.52,$925.00*
Quadro FX 370M,93,1804,NA,NA
Quadro FX 380,185,1606,2.56,$72.50*
Quadro FX 380 LP,135,1674,NA,NA
Quadro FX 3800,779,1006,3.01,$259.13*
Quadro FX 3800M,628,1150,NA,NA
Quadro FX 380M,124,1704,NA,NA
Quadro FX 4000,101,1784,NA,NA
Quadro FX 4500,226,1551,1.34,$169.00*
Quadro FX 4500 X2,236,1546,NA,NA
Quadro FX 4600,436,1367,1.31,$333.25*
Quadro FX 4700 X2,676,1101,NA,NA
Quadro FX 4800,977,864,4.79,$204.00*
Quadro FX 500/600 PCI,14,2092,NA,NA
Quadro FX 500/FX 600,7,2121,NA,NA
Quadro FX 540,80,1851,1.35,$59.99*
Quadro FX 550,63,1903,0.22,$287.82*
Quadro FX 5500,242,1540,0.12,"$1,999.00*"
Quadro FX 560,113,1740,0.76,$150.25*
Quadro FX 5600,561,1233,1.90,$295.00*
Quadro FX 570,155,1636,1.36,$115.00*
Quadro FX 570M,111,1749,NA,NA
Quadro FX 580,154,1637,1.19,$130.00*
Quadro FX 5800,1247,732,4.55,$274.00*
Quadro FX 770M,186,1603,0.35,$527.00*
Quadro FX 880M,219,1560,NA,NA
Quadro FX Go1400,101,1782,NA,NA
Quadro GP100,16203,46,NA,NA
Quadro GV100,17675,35,1.96,"$8,999.00*"
Quadro K1000M,777,1010,11.11,$69.95*
Quadro K1100M,1090,801,3.38,$322.99*
Quadro K1200,2878,387,9.00,$319.95*
Quadro K2000,1567,646,5.33,$294.00*
Quadro K2000D,1613,632,4.75,$339.99*
Quadro K2000M,1028,831,7.14,$144.04*
Quadro K2100M,1347,701,3.24,$415.99*
Quadro K2200,3544,330,13.21,$268.30*
Quadro K2200M,3570,327,28.58,$124.95*
Quadro K3000M,1612,633,3.96,$407.56*
Quadro K3100M,2265,487,5.66,$399.95*
Quadro K4000,2700,409,10.00,$270.00*
Quadro K4000M,2009,535,7.91,$254.00*
Quadro K4100M,2756,401,10.55,$261.29*
Quadro K420,775,1013,2.88,$269.00*
Quadro K4200,4326,286,17.38,$249.00*
Quadro K5000,3921,304,15.75,$249.00*
Quadro K5000M,2805,395,5.51,$508.91*
Quadro K500M,480,-1,NA,NA
Quadro K5100M,3310,351,2.99,"$1,108.84*"
Quadro K510M,610,1174,NA,NA
Quadro K5200,5892,225,14.20,$415.00*
Quadro K600,762,1027,12.66,$60.24*
Quadro K6000,8091,170,32.63,$248.00
Quadro K610M,711,1074,2.96,$240.00*
Quadro K620,2244,489,1.11,"$2,029.99*"
Quadro K620M,1156,772,NA,NA
Quadro M1000M,2960,382,34.43,$85.99*
Quadro M1200,3332,350,NA,NA
Quadro M2000,3944,303,14.93,$264.24*
Quadro M2000M,3521,331,16.52,$213.16*
Quadro M2200,4352,284,17.41,$249.99*
Quadro M3000M,5661,232,35.39,$159.95*
Quadro M4000,6619,206,18.29,$362.00*
Quadro M4000M,6434,210,25.24,$254.91*
Quadro M5000,9245,141,18.53,$499.00*
Quadro M5000M,6840,201,12.51,$546.92*
Quadro M500M,1093,799,NA,NA
Quadro M520,1842,579,NA,NA
Quadro M5500,7915,174,NA,NA
Quadro M6000,11677,100,10.62,"$1,099.98*"
Quadro M6000 24GB,12320,93,NA,NA
Quadro M600M,2007,537,7.97,$251.99*
Quadro M620,2830,393,NA,NA
Quadro NVS 110M,47,1953,NA,NA
Quadro NVS 120M,46,1955,NA,NA
Quadro NVS 130M,97,1794,NA,NA
Quadro NVS 135M,66,1894,NA,NA
Quadro NVS 140M,48,1949,NA,NA
Quadro NVS 150M,92,1808,NA,NA
Quadro NVS 160M,103,1773,NA,NA
Quadro NVS 210S,23,2064,NA,NA
Quadro NVS 210S / GeForce 6150LE,20,2074,NA,NA
Quadro NVS 280 PCI,8,2116,0.06,$130.00*
Quadro NVS 280 SD,2,2247,NA,NA
Quadro NVS 285,38,1988,0.23,$169.86*
Quadro NVS 285 128MB,38,1991,0.70,$55.00*
Quadro NVS 290,204,1582,3.47,$59.00*
Quadro NVS 295,74,1857,1.19,$63.00*
Quadro NVS 320M,127,1695,NA,NA
Quadro NVS 420,69,1879,0.47,$150.00*
Quadro NVS 440,37,1995,0.16,$228.87*
Quadro NVS 450,63,1904,0.40,$159.00*
Quadro NVS 510M,253,1530,NA,NA
Quadro NVS 55/280 PCI,6,2138,NA,NA
Quadro P1000,4468,278,12.77,$349.99
Quadro P2000,7094,197,13.09,$542.00*
Quadro P2000 with Max-Q Design,5392,241,NA,NA
Quadro P2200,9453,135,16.38,$577.17*
Quadro P3000,6558,208,NA,NA
Quadro P3200,8735,154,22.44,$389.30*
Quadro P3200 with Max-Q Design,8656,156,NA,NA
Quadro P400,1603,635,7.97,$201.17*
Quadro P4000,11364,102,20.43,$556.19*
Quadro P4000 with Max-Q Design,9082,146,NA,NA
Quadro P4200,9827,125,NA,NA
Quadro P4200 with Max-Q Design,10323,115,NA,NA
Quadro P500,1487,669,NA,NA
Quadro P5000,11936,96,6.39,"$1,868.99*"
Quadro P520,2093,517,1.40,"$1,499.00*"
Quadro P5200,12254,94,NA,NA
Quadro P5200 with Max-Q Design,9796,126,NA,NA
Quadro P600,3292,353,10.10,$325.99*
Quadro P6000,15763,54,4.85,"$3,250.00*"
Quadro P620,3627,324,6.13,$591.78
Quadro RTX 3000,11106,108,NA,NA
Quadro RTX 3000 with Max-Q Design,7428,190,NA,NA
Quadro RTX 4000,15523,55,17.27,$899.00*
Quadro RTX 4000 (Mobile),12914,83,NA,NA
Quadro RTX 4000 with Max-Q Design,11185,106,NA,NA
Quadro RTX 5000,16154,48,NA,NA
